SYMBOL	fold
X0610010F05Rik	9
X0610012G03Rik	5
X0610030E20Rik	7
X1110004F10Rik	7
X1110008P14Rik	5
X1110012L19Rik	3
X1110032A03Rik	4
X1110038F14Rik	6
X1110051M20Rik	4
X1110059E24Rik	1
X1110059G10Rik	7
X1110065P20Rik	6
X1190007I07Rik	4
X1500009L16Rik	8
X1500011B03Rik	1
X1600012H06Rik	2
X1600014C10Rik	0
X1700017B05Rik	5
X1700025G04Rik	0
X1700030K09Rik	7
X1700037C18Rik	3
X1700037H04Rik	9
X1700066M21Rik	3
X1700123O20Rik	2
X1810013L24Rik	4
X1810030O07Rik	9
X1810037I17Rik	8
X1810055G02Rik	8
X1810058I24Rik	9
X2010315B03Rik	3
X2200002D01Rik	5
X2210016F16Rik	1
X2210016L21Rik	2
X2210408I21Rik	0
X2300009A05Rik	4
X2310009B15Rik	8
X2310011J03Rik	1
X2310022A10Rik	6
X2310022B05Rik	2
X2310030G06Rik	0
X2310033P09Rik	7
X2310039H08Rik	8
X2310057M21Rik	0
X2310061I04Rik	8
X2410002F23Rik	1
X2410004B18Rik	6
X2410131K14Rik	0
X2510002D24Rik	4
X2510009E07Rik	1
X2510039O18Rik	2
X2610001J05Rik	0
X2610002M06Rik	3
X2610008E11Rik	8
X2610021A01Rik	6
X2610044O15Rik8	3
X2610301B20Rik	8
X2610507B11Rik	5
X2700049A03Rik	6
X2700062C07Rik	6
X2700081O15Rik	5
X2700097O09Rik	8
X2810004N23Rik	7
X2810006K23Rik	9
X2810021J22Rik	9
X2900026A02Rik	5
X3110001I22Rik	2
X3110009E18Rik	5
X3110040N11Rik	3
X3110082I17Rik	7
X3830406C13Rik	4
X4833420G17Rik	4
X4833439L19Rik	7
X4921524J17Rik	3
X4930402H24Rik	8
X4930430F08Rik	4
X4930453N24Rik	8
X4930503L19Rik	7
X4930522L14Rik	8
X4930523C07Rik	9
X4930579G24Rik	9
X4931406C07Rik	8
X4931406P16Rik	8
X4931414P19Rik	7
X4931428F04Rik	1
X4932438A13Rik	4
X5031439G07Rik	2
X5730409E04Rik	7
X5730455P16Rik	6
X5730480H06Rik	4
X5730507C01Rik	8
X6030458C11Rik	0
X6330403K07Rik	8
X6430548M08Rik	3
X8030462N17Rik	9
X9030624G23Rik	6
X9130023H24Rik	6
X9130401M01Rik	4
X9330182L06Rik	7
X9430015G10Rik	0
X9430038I01Rik	9
X9530068E07Rik	9
X9530077C05Rik	8
X9930012K11Rik	5
X9930021J03Rik	2
X9930104L06Rik	6
A130010J15Rik	7
A430005L14Rik	8
A430033K04Rik	8
A930007A09Rik	6
AI413582	4
AI429214	8
AI597479	8
AI661453	9
AI837181	4
AI987944	5
AU021092	9
AU022252	9
AU040320	5
AU041133	6
AW146154	1
AW209491	9
AW549877	1
AW551984	1
AW554918	9
Aaas	0
Aacs	0
Aagab	1
Aak1	9
Aamdc	8
Aamp	8
Aar2	4
Aard	9
Aars	7
Aars2	0
Aasdh	0
Aasdhppt	6
